"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"1493","GREECE","130","GREECE:  DODECANESE ISLANDS","36.8","27","","","","9","","3","2","3"
"1494","CHINA","30","CHINA:  YUNNAN PROVINCE:  QUJING","25.5","103.8","","5.5","5.5","7","3","1","2","2"
"1495","JAPAN","30","JAPAN:  KAMAKURA","35.1","139.5","","7.1","7.1","","","3","1","1"
"1499","CHINA","30","CHINA:  YUNNAN PROVINCE:  YI LIANG","25","103","","","","","10000","4","4",""
"1501","CHINA","30","CHINA:  SHAANXI PROVINCE:  CHAOYI","34.8","110.1","","7","7","9","400","3","4","4"
"1502","CHINA","30","CHINA:  HENAN PROVINCE:  PUCHENG","35.7","115.3","","6.5","6.5","8","50","1","2",""
"1504","SWITZERLAND","120","SWITZERLAND","46.8","10.2","","","","8","","2","3",""
"1505","NEPAL","60","NEPAL-INDIA","29.5","83","","8.2","8.2","","","3","3","3"
"1505","AFGHANISTAN","40","AFGHANISTAN:  KABUL","34.5","69.2","","","","12","","3","3","3"
"1508","GREECE","130","GREECE:  CRETE:  IRAKLION (CANDIA),MEGALOKASTRON","35.2","25.1","100","","","10","300","3","2",""
"1509","TURKEY","140","TURKEY:  ISTANBUL","40.8","28.1","","7.7","7.7","10","5000","4","4","4"
"1511","SLOVENIA","130","BALKANS NW:  SLOVENIA:  IDRIJA,SKOFJA LOKA","46.2","13.433","7","6.5","6.5","10","15","1","3","3"
"1511","ITALY","130","ITALY:  CIVIDALE DEL FRUILI","46.1","13.4","","","","10","3000","4","3","3"
"1512","SWITZERLAND","120","SWITZERLAND","46.4","9","","","","7","","3","3",""
"1515","CHINA","30","CHINA:  YUNNAN PROVINCE:  HEQING","26.6","100.2","","7","7","9","100","2","3","3"
"1515","CHINA","30","CHINA:  YUNNAN PROVINCE:  DALI","25.7","100.2","","","","8","200","3","3","3"
"1517","CHINA","30","CHINA:  YUNNAN PROVINCE","24.1","102.6","","5.5","5.5","7","","2","1","1"
"1518","SPAIN","130","SPAIN:  VERA","37.2","-1.5","","","","11","","3","4",""
"1520","CHINA","30","CHINA:  YUNNAN:  WEISHAN","25.3","100.3","","5.5","5.5","7","","3","1",""
